,namespace,Total Conteudos,ARTICLE,Tarefas,AUDIO,EMBEDCONTENT,S.Exs,GDOCS,GSHEETS,GSLIDES,LINKCONTENT,LINKEDEXAM,PRESENTATION,VIDEO,VIDEOCONF
186,physicscidadenova,3745,1324.0,164.0,0.0,0.0,1349.0,0.0,0.0,4.0,19.0,0.0,718.0,31.0,136.0
187,physicsconselheirofurtado,2186,1924.0,7.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,237.0,0.0,0.0
188,physicsmacapa,704,127.0,30.0,0.0,0.0,230.0,0.0,0.0,6.0,1.0,0.0,249.0,57.0,4.0
189,physicsumarizal,3459,1392.0,72.0,0.0,2.0,1038.0,1.0,0.0,127.0,27.0,0.0,688.0,90.0,22.0
190,pioxi,3429,101.0,1108.0,1.0,4.0,22.0,0.0,0.0,0.0,4.0,6.0,478.0,163.0,1542.0
191,pioxiicolegio,10,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,portalsas,5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
193,portinari,6387,1753.0,2434.0,4.0,1.0,144.0,150.0,8.0,112.0,220.0,0.0,1237.0,302.0,22.0
194,porto,718,3.0,17.0,0.0,1.0,269.0,0.0,0.0,0.0,4.0,3.0,329.0,92.0,0.0
195,portoseguro,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
196,primeirodemaio,459,11.0,10.0,0.0,0.0,39.0,0.0,0.0,0.0,82.0,0.0,246.0,71.0,0.0
197,prismapatrocinio,43,1.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,10.0,6.0,6.0,7.0,0.0
198,profederal,3015,825.0,27.0,0.0,0.0,180.0,0.0,0.0,55.0,914.0,0.0,850.0,164.0,0.0
199,provaspoliedro,36,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0
200,psantagema,1152,56.0,221.0,0.0,0.0,430.0,1.0,0.0,2.0,0.0,0.0,416.0,26.0,0.0
201,raimundoalves,26,0.0,5.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,11.0,2.0,0.0
202,riobrancocampinas,29,0.0,4.0,0.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
203,sagradafamilia,2545,0.0,0.0,0.0,0.0,1204.0,0.0,0.0,0.0,0.0,0.0,772.0,569.0,0.0
204,santadoroteia,2545,0.0,0.0,0.0,0.0,1204.0,0.0,0.0,0.0,0.0,0.0,772.0,569.0,0.0
205,santoagostinho,584,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,158.0,160.0,0.0
206,santoagostinhomg,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
207,santoamerico,11373,892.0,1141.0,56.0,87.0,698.0,0.0,0.0,0.0,3640.0,14.0,3366.0,629.0,850.0
