,namespace,(Prof) M.Correções,(Prof) M.Comentários Forum,(Prof) M.Resultados,(Admin) M.Correções,(Admin) M.Comentários Forum,(Admin) M.Resultados,(Student) M.Comentários Forum,(Student) M. de Likes,(Student) M. de Uploads
228,saoluiz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,sas,0.0,0.0,0.0,0.0,0.0,1.33,0.0,4.25,0.0
230,sasadaptfund,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
231,serios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,simbios,0.0,0.0,0.0,0.0,0.0,37.33,0.0,0.0,0.0
233,souhabilis,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.09,0.0
234,tiquinhodegente,0.0,0.0,4.67,0.0,0.0,0.0,0.0,0.07,0.0
235,valdemiracoelho,0.0,1.0,9.14,0.0,0.0,0.0,3.0,2.88,0.0
236,venceslauchaves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0
237,vicentecravo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,visaorecife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
239,zecarioca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,criancaesperanca,,,0.0,,,,,,
241,educacaoinfantilsemear,,,0.0,,,,,,
242,franciscopinto,,,0.0,,,,,,
243,habilisescolaecurso,,,0.0,,,,,,
244,joaoxxiii,,,0.0,,,,,,
245,josepinheiro,,,0.0,,,,,,
246,mastersolucoes,,,0.0,,,0.0,,,
247,sistemaeducacionalmaster,,,0.0,,,,,,
248,colegiosaoluis,,,,,1.0,,,,
249,esmg,,,,,1.0,0.0,,,
250,amais,,,,,,0.0,,,
251,bernardosayao,,,,,,0.0,,,
252,escoladofuturo,,,,,,,1.0,,
253,tiathais,,,,,,,,0.0,
